fips,0-17,18-24,25-34,35-44,45-54,55-64,65-74,75-84,85+
31051,2286,978,896,1000,1089,1356,1014,507,408
31053,16659,8243,8232,8400,8452,8940,6900,4788,2244
31055,269716,125389,159132,132328,128202,126205,83881,45859,22612
31057,716,358,330,335,439,496,414,211,176
31059,1907,890,908,817,1158,1346,1003,736,423
31061,932,497,418,470,631,771,612,468,190
31063,845,596,338,393,468,612,463,347,106
31065,1866,728,732,851,933,1291,1029,580,372
31067,9104,4044,4285,4427,5245,5816,4183,2993,1562
31069,637,201,284,407,440,504,374,283,129
31071,614,341,268,232,367,537,419,352,133
31073,703,384,292,280,486,495,344,247,79
31075,196,138,79,67,135,155,122,97,54
31077,808,293,299,338,414,506,371,342,125
31079,31603,13654,14800,14765,14359,13873,9958,5717,3420
31081,3840,1645,1719,1671,2067,2308,1628,980,468
31083,1218,467,479,531,632,849,735,461,199
31085,290,133,212,129,152,313,182,102,45
31087,1038,443,481,460,554,733,559,427,149
31089,4727,1951,1860,1956,2490,2852,2054,1400,805
31091,176,113,123,71,91,206,197,111,94
31093,2535,938,1123,1274,1344,1451,1262,733,356
31095,2745,1124,1247,1390,1469,1999,1489,958,460
31097,1581,913,960,991,1222,1076,729,452,282
31099,2636,993,1192,1380,1326,1549,1151,616,494
31101,3257,1499,1508,1560,1997,2339,2036,1225,421
31103,246,113,130,87,152,220,119,125,49
31105,1495,585,650,633,832,931,887,649,178
31107,2961,1078,1005,1166,1559,1883,1426,1011,641
31109,128179,93190,76340,64875,61548,65668,44745,24050,11895
31111,17112,7487,8375,8622,8620,10407,7058,4479,2192
31113,304,129,108,127,171,152,142,67,40
31115,163,101,83,66,115,137,128,59,18
31117,174,71,90,71,138,121,44,71,41
31119,16417,8059,8315,7087,7665,8359,5606,3438,2158
31121,3241,1370,1360,1518,1889,2162,1552,946,420
31123,1971,778,918,953,997,1225,832,581,223
31125,1452,694,599,693,830,1036,649,459,294
31127,2701,2134,1567,1191,1495,1825,1298,824,457
31129,1509,686,667,754,822,1160,937,735,305
31131,6407,2967,2878,3080,3381,3762,2818,1885,1023
31133,889,454,372,416,498,652,527,375,223
31135,1081,421,489,482,518,764,513,347,224
31137,4311,1819,2022,1809,2326,2270,1778,1437,570
31139,2729,1069,1144,1223,1519,1568,1177,824,315
31141,16471,7011,7432,7189,7658,8401,5782,3686,1724
31143,1869,835,713,863,1050,1340,882,561,337
31145,5287,2812,2301,2496,2553,3166,2209,1669,785
31147,3037,1302,1481,1534,1883,2328,1680,1178,728
31149,400,283,183,227,275,382,287,185,134
31151,6436,4047,2605,3416,2900,3108,2065,1387,785
31153,86826,36524,45332,42652,40234,35691,24616,13376,5071
31155,8874,3343,3662,3862,4909,4918,3557,2226,981
31157,17633,7852,8456,7990,8313,9774,7237,4351,2362
31159,6560,4256,2975,2972,3437,3603,2687,1726,797
31161,2189,846,877,845,1061,1381,1117,684,489
31163,1030,430,369,473,591,767,621,530,160
31165,441,283,230,184,204,386,240,220,64
31167,2638,1058,1104,1245,1297,1515,922,588,323
31169,1780,758,708,816,1011,1276,978,785,365
31171,236,125,116,132,94,174,129,69,19
31173,3217,1127,1082,912,1016,1099,727,403,258
31175,1562,757,807,730,803,1070,922,578,336
31177,9243,4569,4173,4236,5451,5663,3711,2058,1134
31179,3703,4363,2092,1913,1901,2236,1457,1043,526
31181,1282,572,509,554,737,835,673,552,196
31183,220,130,94,164,172,199,162,99,29
31185,5822,3050,2895,2660,2993,3318,2430,1645,833
32001,11343,5625,6125,5022,6089,6551,5457,3121,1104
32003,941976,448800,559299,527356,507020,475407,360223,185274,70701
32005,17078,8451,8967,8897,11492,14858,12682,6649,2355
32007,27348,11847,14310,12944,13223,12876,7757,3656,1480
32009,443,268,308,255,232,252,350,146,82
32011,751,291,405,501,584,687,443,128,166
32013,9415,4059,4303,4443,4141,4852,2802,1561,508
32015,3505,1384,1427,1322,1402,2156,1185,497,343
32017,2171,1400,1314,1205,1434,1308,1333,681,219
32019,21298,8674,10445,10369,11723,14258,12143,5610,2059
32021,1687,887,1100,745,1115,1373,1187,852,274
32023,15662,7493,8140,7869,10619,13797,13277,6640,2149
32027,2227,1225,1905,1542,1773,1584,1446,672,218
32029,1228,590,503,770,1231,1434,1466,676,124
32031,194689,102881,119467,103293,110195,114141,85587,42049,18050
32033,4378,2243,2654,2414,2455,2795,1859,1147,434
32510,23595,12207,13251,12218,14543,15136,12291,6612,3368
33001,24753,12668,12972,13287,17087,19344,14445,7326,3255
33003,17209,8997,8936,9775,13606,16747,13423,6883,3251
